,0,1,2,3,4,5,6,7,8,9,10
Istambul-faledev1,-0.3187361370919535,-0.35530862161195526,0.027488991727908686,0.32248037874545254,-0.3022829010894369,0.41221444093936865,-0.06372676953113533,-0.17735954154477673,-0.1438211654733407,-0.08890864196321706,0.18941536819757432
Izmir-35,0.19071547837243655,0.4276391918034979,-0.3576830497914373,0.16644674377488775,0.3505846771543754,-0.36986509333575024,0.34765419505974027,-0.17033176244287837,0.08727087867438763,0.16462424584041352,-0.21926461297590175
Izmir-134,-0.8099330201823731,0.2416525837008898,0.13222199918564637,-0.011217214184375272,-0.5565566812605552,0.36368740214866524,0.10590608480675724,-0.0346512935831447,-0.25821394232813477,0.05731945033588351,0.17735573724327874
Izmir-153,-0.8368837785746409,-0.5839113990657957,0.5119085866977073,0.3730473350716362,0.17549549584497817,-0.2213783506603298,0.06125620014168521,-0.10100214792686783,0.14442243612747813,0.018302010707072096,-0.16896764493473146
Istambul-falherb1,-0.8857750742512067,0.39899907173332005,-0.6029828274339619,-0.004469374722203358,-0.29660904763212553,-0.22033487029745777,-0.2057435104864729,0.011597847917619477,-0.07065343408449579,0.29088617765195085,-0.2653105084927543
Istambul-febuyig1,2.2149558834672662,-1.353980439727342,0.6776477369843642,-0.16117239586174817,-0.24168128468420585,0.28375981057445276,-0.5457264121966745,0.354489121922308,-0.039804424912808806,0.09320816653315624,-0.09007556373530054
Newcastle-73,0.26155612039878906,0.09706989664583797,-0.3066886407756084,-0.233462765800717,-0.4096567015150906,-0.7913178382304921,-0.37665284144749195,0.08532020078245664,-0.2609378533223782,0.0017774332027932866,-0.10921357129194242
Istambul-pfdum1,2.319971037316039,-1.124206826834962,-0.37211767439278276,-0.725872683297122,0.6753911752912186,0.5264789574425268,-0.24569116005716982,-0.14095440516665297,-0.2982388401720804,-0.12779988528537972,0.11232973667206379
Miltiadous-10,-0.4590042509773215,-0.34414156018270453,-0.10620061375821735,0.3452137846611384,0.29844644509718504,-0.11264436926120526,0.06895149597265382,-0.09773245485239344,-0.1388608909691025,-0.002131771000778776,-0.02389081056903616
Istambul-falmcek1,-1.3849628386925017,1.4758980311041658,0.2922121194554338,-0.16863106006698445,0.20517112486582978,0.5968484090911297,-0.621654648456701,0.14761562522034322,0.205351110823601,-0.3952997521330045,-0.31483681413428544
Miltiadous-1,-1.0160349004274685,0.771880276928083,0.14252533862490485,-0.14164812527372755,0.06502960589652486,0.0650936659165212,-0.2659379728490738,0.10271921633555618,-0.0018723283391211749,-0.08365520848076471,0.06784209793410842
Istambul-pcaka,-0.2727825493961712,-0.06310239010322426,0.38554026681761555,-0.3110149427711206,0.45690606760708347,0.03155315935351885,0.4384083507529741,-0.08299685220471681,-0.3434103478421344,-0.3280023509690112,-0.07691049315414428
BrainLat:CL-sub-30021,-0.004943873774890838,1.5993607930638312,-0.07348121030682145,-0.03629430985003634,0.05526972712242141,0.22072716620294427,-0.1826867544800914,0.12749921286331728,0.015405507034097734,0.03656841332042069,0.16763406558633817
Newcastle-84,-1.2795065361734066,-0.03640070506014884,1.0583950940667242,-0.15855919980746852,0.22330294995131217,-0.35361483059877896,0.17592549113397396,0.07068292826970896,-0.26177236417142274,-0.2206220378583756,0.14972659237743086
Istambul-falmasi1,0.10916957842699686,-0.06585181093192023,-0.508243509059483,-0.33134991385856993,0.14693406468098208,-0.48604173205928464,0.058640866090315207,0.11478667360880317,0.059417216329085754,-0.2463545716603368,0.11076330174083443
Izmir-44,1.3787709133204558,0.10915227114487705,-0.5690129709476879,1.1599533120642334,-0.48479380034251524,-0.24641240099998357,0.27598637236672785,0.11562015088153764,-0.10615842069352534,0.0252913380415391,0.31431232106253565
Izmir-138,1.204377006629027,-0.3180392850638658,0.7138467553065699,-0.23920482093862258,-0.10867661326342587,0.3980216232557479,-0.08833852109410881,0.10349563304578445,0.1102396988761912,0.042007811330511007,-0.03987821931482868
Miltiadous-41,-0.6125003273022116,-0.3530056765088716,0.4633027326561734,-0.12144492194991698,-0.006770749531748726,-0.13566528124659671,-0.0025288047484267645,-0.3262424104074167,-0.1311704896722839,-0.17780138555307543,-0.00641214430148898
BrainLat:AR-sub-100024,1.816196715020908,-0.15334203380514558,-0.18054093871407068,-0.04704479889871842,-0.25495312368256795,0.23178756472110332,0.39198835419598227,0.01696296509155326,-0.016082114337834408,-0.10425057365570743,-0.17214495352312037
Izmir-26,1.3260037195502299,0.12940021014441513,-0.521316939954087,-0.7885954763197264,-0.4888595691428347,-0.2272085277896548,-0.40770522437601187,0.3438160601069468,-0.07079183360520894,-0.07884655287809382,-0.05130113554312869
Izmir-142,-0.6536565237941726,0.08871268677621277,-0.16727154892884652,-0.3212103423532577,-0.3244739281564971,-0.10192438572702972,0.024302943415991277,-0.014340551339953374,-0.02883160627247203,0.1800028480066555,-0.11319901348997782
Miltiadous-37,1.1328353356801033,0.9966292630511134,0.7282184306565592,-0.5110496195205773,-0.18620483820088526,-0.3294224883706448,0.4853058678993511,-0.09644582294425705,0.36344115978146524,-0.05314563383721807,-0.011505615431351285
Istambul-falmozb1,1.0063048619810475,0.13497655289877808,1.475031096873064,0.9618619788487778,-0.88630905181226,0.2410264522337524,-0.4790767573428883,0.2688432175107065,-0.124487713536719,-0.35233843157054934,-0.012409788649079398
Istambul-falserg1,-0.04543097697831939,0.9970145394400696,0.7820591094345251,-0.10950769846628444,0.0969021074796045,0.24244007771025086,0.030530390906132614,0.13570430475502965,-0.012038361521813846,-0.10092437982677278,0.15500869097963657
Izmir-31,0.24094709535562284,1.0319353407643848,-0.14753235653286587,0.28837961162814196,0.38736800699979373,0.25380355701284046,-0.24889215950994728,0.11407941791922459,0.14379109616819358,-0.22303286830851968,-0.321075308405239
Miltiadous-58,1.059298813285473,-0.8173453100527867,-0.18010274685582212,-0.13456454911442253,-0.09145920655691701,-0.4197878072047726,-0.1475228087014719,-0.2103700166784377,0.004175502377822058,-0.09942583243156394,0.06763372186268422
Newcastle-68,-0.45243479633865574,0.045373610042181434,0.4886156386701123,0.17273400329469485,0.18532885078173622,-0.12348471016019286,-0.06048527294316157,-0.2856289925860001,-0.1282721683906717,-0.07985615596264149,-0.06312859147867496
Miltiadous-7,-0.9196288783635698,0.9805589371887358,0.38494269315466323,-0.08068953595067288,0.20141575288588945,0.12334883616470384,-0.19219963430965575,0.12307553557771655,0.07388439307082849,-0.1487793128714979,-0.0018797407449082921
Izmir-24,-0.16797361450396867,1.5685322419882688,-0.5943946148284167,-0.37111150916969815,0.19459938615315583,0.40918183105667644,-0.4795917187404013,0.3525726074060741,0.085017240192395,-0.1591563654257713,-0.2772366844364495
Istambul-frekakt1,1.0404704994191665,-0.9608633065283292,0.19757378103268725,-0.09724146623043356,0.06170104757527763,0.003871376219562396,-0.30547954813590433,-0.26960851865015995,-0.1555684089343162,0.14101327059401295,-0.1518320077163047
Istambul-pcgul1,0.3620845117441424,0.70161237878673,-0.6958181106631011,0.20189853647584077,-0.11588664782846032,0.339367350454767,-0.2192040418334649,0.06250973295245803,-0.08615164192038466,-0.03843622350015635,0.03373119358769958
Newcastle-102,-0.6816190589185933,0.27883911632420866,0.31552695135766395,-0.4112311627324089,0.24519150384724772,-0.23992675582038334,-0.09873665335220932,-0.07022342293900484,0.19588101497199614,0.13426247300973135,-0.12868312230676365
Newcastle-54,-1.1874270092128805,-0.3940662124794575,-0.026634053480265808,0.20696043570181574,0.022055238553951365,0.03494973542453403,-0.099292607447081,0.35595462932407046,-0.0649167174636561,-0.15557899232578823,-0.2550463614604608
BrainLat:AR-sub-30012,-0.5365439151116151,-0.640127171762721,0.22742960082690997,0.6243566383000176,-0.14761366318020938,-0.023586098244659452,-0.2318674629261043,-0.2367423270457419,-0.26389283490315324,0.17829464323876826,-0.12323093209188343
Istambul-pssen1,0.4682435649004639,-0.0723068297826704,0.3786343030847097,0.037537955839115046,-0.042278420193515034,-0.5430145618833959,-0.22139674163077272,0.22391791759985025,-0.13862161701848297,-0.13598425088284627,-0.09833705117963186
Newcastle-100,0.9041029284070018,0.2816210397823561,0.17188439959531931,0.17650322878318622,0.20200681697497982,0.18580510173028306,0.5400345860470217,-0.027910554710130986,0.09386532579035306,-0.06667317669229685,0.07662108915099738
Miltiadous-11,-0.03778451700065643,0.7021369155708277,-0.632864445148949,0.02409376834323951,0.7082654359670556,0.1706042837990684,0.3312712502623594,-0.014479749404753358,0.11205014402229699,0.1953166840563195,0.10039667687665192
